name,group,nodesize
html,6,272.45
css,6,341.17
hibernate,8,29.83
spring,8,52.84
ruby,3,70.14
ruby-on-rails,3,55.31
ios,4,87.46
swift,4,63.62
html5,6,140.18
c,1,189.83
c++,1,268.11
asp.net,2,129.55
c#,2,321.13
objective-c,4,47.01
javascript,6,649.16
jquery,6,208.29
redux,3,8.52
reactjs,3,59.03
php,6,361.22
mysql,6,165.43
spring-mvc,8,18
.net,2,75.08
react-native,3,13.61
spring-boot,8,12.37
less,6,9.73
sass,6,30.55
hadoop,10,17.95
apache-spark,10,11.04
sql-server,2,64.62
express,3,14.27
node.js,3,117.36
mongodb,3,50.95
iphone,4,15.29
github,5,12.71
git,5,54.48
excel,14,12.5
excel-vba,14,11.38
entity-framework,2,12.88
linq,2,8.32
wcf,2,12.73
wpf,2,19.38
android,4,229.86
java,8,610.65
scala,10,27.02
ajax,6,35.41
django,1,40.91
python,1,438.67
vba,14,16.87
xcode,4,11.37
apache,5,13.17
nginx,5,9.49
angularjs,6,126.59
asp.net-web-api,2,11.28
laravel,6,32.12
plsql,2,10.32
oracle,2,30.19
json,6,25.38
xml,6,23.77
flask,1,9.39
wordpress,6,46.74
java-ee,8,22.45
maven,8,10.3
jsp,8,13.78
bash,5,23.91
linux,5,108.54
angular2,7,18.79
typescript,7,17.53
codeigniter,6,18.71
tdd,12,9.45
agile,12,12.22
twitter-bootstrap,6,31.05
web-services,8,18.94
rest,8,27.08
testing,11,8.95
selenium,11,12.7
android-studio,4,14.79
redis,3,13.85
jenkins,9,10.02
docker,9,22.85
amazon-web-services,9,30.05
angular,7,29.09
osx,4,12.58
machine-learning,1,44.21
qt,1,10.53
windows,5,19.71
ubuntu,5,11.98
ionic-framework,6,8.44
elasticsearch,3,10.82
vue.js,6,8.38
r,1,52.7
embedded,1,13.27
go,9,24.84
visual-studio,2,18.13
postgresql,3,39.03
sql,2,154.23
unix,5,15.67
eclipse,8,11.39
vb.net,2,23.56
unity3d,2,19.36
devops,9,9.81
drupal,6,8.25
shell,5,11.63
bootstrap,6,13.28
xamarin,2,11.18
azure,2,13.68
mvc,2,10.92
haskell,10,11.18
api,8,8.61
twitter-bootstrap-3,6,10.13
regex,13,9.46
perl,13,19.38
cloud,9,10.66
photoshop,6,12.62
powershell,5,9.85
matlab,1,27.21
